,Symbol,Sector
0,SPPI,Health Care
1,DMTK,Health Care
2,ENTA,Health Care
3,ANIX,Health Care
4,LUMO,Health Care
5,DXCM,Health Care
6,GLMD,Health Care
7,HOLX,Health Care
8,CLRB,Health Care
9,KZIA,Health Care
10,VERU,Health Care
11,XNCR,Health Care
12,ASRT,Health Care
13,STRR,Health Care
14,ZSAN,Health Care
15,CLDX,Health Care
16,DRNA,Health Care
17,CEMI,Health Care
18,MOR,Health Care
19,POAI,Health Care
20,CRMD,Health Care
21,NUWE,Health Care
22,NUVA,Health Care
23,GERN,Health Care
24,VBLT,Health Care
25,HSDT,Health Care
26,PMCB,Health Care
27,CUE,Health Care
28,AVCO,Health Care
29,ALPN,Health Care
30,KERN,Health Care
31,NVIV,Health Care
32,ALKS,Health Care
33,SRDX,Health Care
34,MOTS,Health Care
35,VCEL,Health Care
36,ARAV,Health Care
37,SRGA,Health Care
38,PINC,Health Care
39,MDGL,Health Care
40,EIGR,Health Care
41,ORMP,Health Care
42,APLS,Health Care
43,SIGA,Health Care
44,GRFS,Health Care
45,MNKD,Health Care
46,KDMN,Health Care
47,MRUS,Health Care
48,NEPH,Health Care
49,GLYC,Health Care
50,NERV,Health Care
51,AHPI,Health Care
52,PAVM,Health Care
53,IRIX,Health Care
54,CLSD,Health Care
55,PTCT,Health Care
56,ATXS,Health Care
57,LUNA,Health Care
58,SRRA,Health Care
59,UTMD,Health Care
60,VSTM,Health Care
61,TRIB,Health Care
62,RVNC,Health Care
63,SGRY,Health Care
64,PETV,Health Care
65,CHRS,Health Care
66,PPBT,Health Care
67,ENLV,Health Care
68,BIIB,Health Care
69,RMTI,Health Care
70,VTGN,Health Care
71,SLNO,Health Care
72,IDXX,Health Care
73,FIXX,Health Care
74,CFRX,Health Care
75,APVO,Health Care
76,ELOX,Health Care
77,CTXR,Health Care
78,TYME,Health Care
79,KMPH,Health Care
80,AWH,Health Care
81,HSIC,Health Care
82,INCY,Health Care
83,FATE,Health Care
84,SVRA,Health Care
85,RGLS,Health Care
86,AZN,Health Care
87,OMCL,Health Care
88,ACOR,Health Care
89,RETA,Health Care
90,MYGN,Health Care
91,MBRX,Health Care
92,ALT,Health Care
93,FONR,Health Care
94,EGRX,Health Care
95,CCXI,Health Care
96,RZLT,Health Care
97,PETS,Health Care
98,ICPT,Health Care
99,TRHC,Health Care
100,VXRT,Health Care
101,JAZZ,Health Care
102,ALDX,Health Care
103,PETQ,Health Care
104,PRTK,Health Care
105,HROW,Health Care
106,CSII,Health Care
107,LNTH,Health Care
108,OPCH,Health Care
109,DVAX,Health Care
110,GTHX,Health Care
111,PDEX,Health Care
112,OCUL,Health Care
113,NLTX,Health Care
114,PDSB,Health Care
115,RGNX,Health Care
116,KTRA,Health Care
117,LHCG,Health Care
118,ATNX,Health Care
119,BMRN,Health Care
120,FBIOP,Health Care
121,MGLN,Health Care
122,SIEN,Health Care
123,RDHL,Health Care
124,SESN,Health Care
125,EYE,Health Care
126,CHEK,Health Care
127,ANIK,Health Care
128,FBIO,Health Care
129,ORGS,Health Care
130,CORT,Health Care
131,DARE,Health Care
132,NSPR,Health Care
133,AGRX,Health Care
134,EPZM,Health Care
135,SURF,Health Care
136,PULM,Health Care
137,WBA,Health Care
138,ABVC,Health Care
139,SUPN,Health Care
140,AVGR,Health Care
141,GNPX,Health Care
142,ODT,Health Care
143,EDIT,Health Care
144,RGEN,Health Care
145,SAVA,Health Care
146,ASMB,Health Care
147,MEIP,Health Care
148,EVOK,Health Care
149,RWLK,Health Care
150,OCGN,Health Care
151,CYTO,Health Care
152,CBAY,Health Care
153,VIVE,Health Care
154,LJPC,Health Care
155,BSGM,Health Care
156,VKTX,Health Care
157,COGT,Health Care
158,PBLA,Health Care
159,CODX,Health Care
160,VTVT,Health Care
161,NATR,Health Care
162,FGEN,Health Care
163,APDN,Health Care
164,ENSG,Health Care
165,ZIOP,Health Care
166,NDRA,Health Care
167,CAPR,Health Care
168,CASI,Health Care
169,WVE,Health Care
170,IONM,Health Care
171,ISRG,Health Care
172,VCYT,Health Care
173,ELDN,Health Care
174,SCYX,Health Care
175,BTAI,Health Care
176,BFRA,Health Care
177,DRRX,Health Care
178,JNCE,Health Care
179,NBIX,Health Care
180,VRTX,Health Care
181,VYGR,Health Care
182,GILD,Health Care
183,CLLS,Health Care
184,VRAY,Health Care
185,ACIU,Health Care
186,TVTY,Health Care
187,VRNA,Health Care
188,PCSA,Health Care
189,MBOT,Health Care
190,TVTX,Health Care
191,PODD,Health Care
192,AXSM,Health Care
193,CPIX,Health Care
194,IRMD,Health Care
195,ATRS,Health Care
196,AVEO,Health Care
197,SGMO,Health Care
198,RCKT,Health Care
199,ZGNX,Health Care
200,TBPH,Health Care
201,ITCI,Health Care
202,ICUI,Health Care
203,EYES,Health Care
204,MTEM,Health Care
205,KRYS,Health Care
206,ARDX,Health Care
207,BLRX,Health Care
208,BIMI,Health Care
209,ALBO,Health Care
210,KURA,Health Care
211,RCEL,Health Care
212,GMAB,Health Care
213,PDCO,Health Care
214,MESO,Health Care
215,CRSP,Health Care
216,VNDA,Health Care
217,CERN,Health Care
218,QURE,Health Care
219,CUTR,Health Care
220,CYTH,Health Care
221,XRAY,Health Care
222,STAA,Health Care
223,ACHC,Health Care
224,TCON,Health Care
225,TTNP,Health Care
226,IRTC,Health Care
227,NBRV,Health Care
228,ATHX,Health Care
229,MRKR,Health Care
230,NBSE,Health Care
231,XBIO,Health Care
232,SMLR,Health Care
233,ACER,Health Care
234,MEDP,Health Care
235,ATRA,Health Care
236,GENE,Health Care
237,KRMD,Health Care
238,BPTH,Health Care
239,DCPH,Health Care
240,CDTX,Health Care
241,BBI,Health Care
242,NVOS,Health Care
243,CDNA,Health Care
244,NVAX,Health Care
245,PGEN,Health Care
246,TECH,Health Care
247,NVCR,Health Care
248,TENX,Health Care
249,CDMO,Health Care
250,RDUS,Health Care
251,SIOX,Health Care
252,ICCC,Health Care
253,IMMP,Health Care
254,APEN,Health Care
255,LPTX,Health Care
256,ANAB,Health Care
257,PTGX,Health Care
258,AVDL,Health Care
259,DNLI,Health Care
260,ATRC,Health Care
261,CYTK,Health Care
262,AMEH,Health Care
263,OPT,Health Care
264,RIGL,Health Care
265,REPH,Health Care
266,NURO,Health Care
267,PSTI,Health Care
268,ACHV,Health Care
269,TCMD,Health Care
270,CYCC,Health Care
271,AXGN,Health Care
272,HCSG,Health Care
273,OSUR,Health Care
274,TXMD,Health Care
275,AMPH,Health Care
276,AERI,Health Care
277,IFRX,Health Care
278,RARE,Health Care
279,SRTS,Health Care
280,SNDX,Health Care
281,HGEN,Health Care
282,EYPT,Health Care
283,PRQR,Health Care
284,MASI,Health Care
285,ERYP,Health Care
286,ONVO,Health Care
287,ALNY,Health Care
288,BIOC,Health Care
289,BLPH,Health Care
290,AYTU,Health Care
291,BGNE,Health Care
292,SELB,Health Care
293,TGTX,Health Care
294,MMSI,Health Care
295,MDXG,Health Care
296,PIRS,Health Care
297,FWBI,Health Care
298,SPNE,Health Care
299,MCRB,Health Care
300,ONCT,Health Care
301,NCNA,Health Care
302,GEG,Health Care
303,CWBR,Health Care
304,NH,Health Care
305,BCLI,Health Care
306,AFMD,Health Care
307,AMED,Health Care
308,ESPR,Health Care
309,PCRX,Health Care
310,DRIO,Health Care
311,XENT,Health Care
312,CPRX,Health Care
313,CLBS,Health Care
314,ADMP,Health Care
315,SNY,Health Care
316,OTRK,Health Care
317,ADVM,Health Care
318,HEPA,Health Care
319,LIXT,Health Care
320,SNGX,Health Care
321,CTSO,Health Care
322,RDNT,Health Care
323,BLFS,Health Care
324,OPGN,Health Care
325,AGEN,Health Care
326,ISEE,Health Care
327,ENDP,Health Care
328,EYEN,Health Care
329,IDRA,Health Care
330,OPRX,Health Care
331,IONS,Health Care
332,PBYI,Health Care
333,NMTC,Health Care
334,CTIC,Health Care
335,ICAD,Health Care
336,NOTV,Health Care
337,AGIO,Health Care
338,TRUP,Health Care
339,RLMD,Health Care
340,DYNT,Health Care
341,REGN,Health Care
342,ADXS,Health Care
343,AMRN,Health Care
344,MRSN,Health Care
345,GLPG,Health Care
346,SLS,Health Care
347,NKTR,Health Care
348,FVE,Health Care
349,OTIC,Health Care
350,TTOO,Health Care
351,ASND,Health Care
352,EXAS,Health Care
353,AMGN,Health Care
354,GEVO,Health Care
355,CRIS,Health Care
356,VIVO,Health Care
357,ADAP,Health Care
358,CYAD,Health Care
359,BVXV,Health Care
360,INSM,Health Care
361,SLRX,Health Care
362,IOVA,Health Care
363,BYSI,Health Care
364,SLDB,Health Care
365,NTUS,Health Care
366,SRNE,Health Care
367,XTLB,Health Care
368,ORGO,Health Care
369,IMUX,Health Care
370,ZIVO,Health Care
371,BIOL,Health Care
372,CCEL,Health Care
373,ALNA,Health Care
374,ABCM,Health Care
375,SYRS,Health Care
376,NAOV,Health Care
377,CDXS,Health Care
378,TNDM,Health Care
379,TRVN,Health Care
380,NRBO,Health Care
381,DYAI,Health Care
382,OVID,Health Care
383,ATRI,Health Care
384,ACRS,Health Care
385,CNCE,Health Care
386,KALV,Health Care
387,KALA,Health Care
388,INFI,Health Care
389,ADMA,Health Care
390,CRDF,Health Care
391,LMAT,Health Care
392,CYCCP,Health Care
393,URGN,Health Care
394,RYTM,Health Care
395,ONCS,Health Care
396,CMRX,Health Care
397,JAGX,Health Care
398,LIVN,Health Care
399,BPMC,Health Care
400,QTNT,Health Care
401,ARGX,Health Care
402,NMTR,Health Care
403,ZEAL,Health Care
404,ONTX,Health Care
405,XOMA,Health Care
406,BIVI,Health Care
407,NTLA,Health Care
408,IIN,Health Care
409,ICLR,Health Care
410,UTHR,Health Care
411,CFMS,Health Care
412,HCM,Health Care
413,CKPT,Health Care
414,BTCY,Health Care
415,DBVT,Health Care
416,CERS,Health Care
417,ATEC,Health Care
418,FWP,Health Care
419,SSKN,Health Care
420,IRWD,Health Care
421,PSTV,Health Care
422,OMER,Health Care
423,INGN,Health Care
424,OPK,Health Care
425,BDSI,Health Care
426,ATHE,Health Care
427,ADUS,Health Care
428,NEOG,Health Care
429,CGEN,Health Care
430,SMTI,Health Care
431,MNOV,Health Care
432,WORX,Health Care
433,CLVS,Health Care
434,GTBP,Health Care
435,SINT,Health Care
436,NOVN,Health Care
437,PRPH,Health Care
438,GALT,Health Care
439,LGND,Health Care
440,ABMD,Health Care
441,CARA,Health Care
442,PLXP,Health Care
443,CSBR,Health Care
444,LPCN,Health Care
445,QDEL,Health Care
446,ENOB,Health Care
447,ARCT,Health Care
448,NSTG,Health Care
449,PRTG,Health Care
450,NTRA,Health Care
451,ALRN,Health Care
452,OPNT,Health Care
453,BCDA,Health Care
454,VYNT,Health Care
455,CLPT,Health Care
456,VREX,Health Care
457,HQY,Health Care
458,MRNS,Health Care
459,EXEL,Health Care
460,AVTX,Health Care
461,CBIO,Health Care
462,AVXL,Health Care
463,NYMX,Health Care
464,SCPH,Health Care
465,MTP,Health Care
466,CLSN,Health Care
467,INVA,Health Care
468,OBSV,Health Care
469,CALA,Health Care
470,SRPT,Health Care
471,MACK,Health Care
472,ANIP,Health Care
473,ALGN,Health Care
474,TNXP,Health Care
475,ZLAB,Health Care
476,WINT,Health Care
477,NXGN,Health Care
478,NTRB,Health Care
479,OPTN,Health Care
480,COLL,Health Care
481,ARWR,Health Care
482,GBT,Health Care
483,XFOR,Health Care
484,SYBX,Health Care
485,INO,Health Care
486,CRVS,Health Care
487,KMDA,Health Care
488,BCRX,Health Care
489,ATOS,Health Care
490,HTBX,Health Care
491,PHIO,Health Care
492,BMRA,Health Care
493,EVFM,Health Care
494,OCX,Health Care
495,ANGO,Health Care
496,DFFN,Health Care
497,BNTC,Health Care
498,NEO,Health Care
499,SGEN,Health Care
500,ENVB,Health Care
501,KIDS,Health Care
502,LIFE,Health Care
503,MDGS,Health Care
504,SEEL,Health Care
505,BLUE,Health Care
506,MTBC,Health Care
507,PLSE,Health Care
508,AGTC,Health Care
509,PRTA,Health Care
510,PMD,Health Care
511,ZYNE,Health Care
512,AGLE,Health Care
513,QTRX,Health Care
514,VYNE,Health Care
515,ILMN,Health Care
516,LXRX,Health Care
517,HALO,Health Care
518,HZNP,Health Care
519,MTBCP,Health Care
520,CELC,Health Care
521,SAGE,Health Care
522,FOLD,Health Care
523,BLCM,Health Care
524,COCP,Health Care
525,AKTX,Health Care
526,SYNH,Health Care
527,SNOA,Health Care
528,ZYXI,Health Care
529,NRC,Health Care
530,SPRO,Health Care
531,NMRD,Health Care
532,ABEO,Health Care
533,EKSO,Health Care
534,ARAY,Health Care
535,ARNA,Health Care
536,FLGT,Health Care
537,DCTH,Health Care
538,IMGN,Health Care
539,EDAP,Health Care
540,MRTX,Health Care
541,OFIX,Health Care
542,VRDN,Health Care
543,CRBP,Health Care
544,GNCA,Health Care
545,OTLK,Health Care
546,MBIO,Health Care
547,ACAD,Health Care
548,VERO,Health Care
549,MGNX,Health Care
550,IART,Health Care
551,ABIO,Health Care
552,AKBA,Health Care
553,CTMX,Health Care
554,IMRN,Health Care
